strategy,lambda,order_size,aggressiveness,latency_sensitivity,risk_cap,seed_count,realized_pnl,return_volatility,sharpe,max_drawdown,trade_count,fill_rate,avg_latency_ms,liquidity_pressure,inventory_volatility,inventory_turnover,market_price_volatility,market_mean_net_flow,market_net_flow_volatility
mean_reversion,0.05,6.0,0.5,0.8,35.0,2.0,-2454.1109618427945,10.076942338536162,-3.426715685488711,2828.9130590747804,1813.0,0.5624574686866368,3.414050334776238,0.990355075262493,27.007574652058178,1.980710150524986,0.3850405182325214,-0.0032754729065853426,1.69620063028283
mean_reversion,0.05,6.0,0.5,0.8,50.0,2.0,-3346.7533754779447,14.121481425176686,-3.3350745985067736,3714.8890444461276,1953.0,0.5566852071551177,3.407127870016237,1.1073762437999046,37.54770763647167,2.2147524875998092,0.3847414075646348,-0.0015,1.802937487225817
mean_reversion,0.05,6.0,0.9,0.4,20.0,2.0,-626.0574155673849,6.240955363169485,-1.4128016216138888,960.6239653291711,2021.0,0.6562143872328319,3.533397607084292,1.840387418402171,15.805590389959796,2.044874909335799,0.43344327553576484,-0.0022554284147566755,3.055582847883121
mean_reversion,0.05,6.0,0.9,0.4,35.0,2.0,-1867.8732353188364,10.757383209611948,-2.4450447267841615,2022.0493926513207,2272.0,0.6669425089025147,3.5120676416181906,2.241481614222662,26.27308975012849,2.4905351269141534,0.4527007938687354,-0.0018454964095024424,3.4240930590207084
mean_reversion,0.05,6.0,0.9,0.4,50.0,2.0,-4053.4396792532516,15.28363154686639,-3.7500353141418574,4298.621652005113,2359.0,0.6708111646744189,3.519116567048929,2.3738597126669774,37.146661100270435,2.637621902963404,0.45371912986799817,0.008999999999999996,3.538271283199498
mean_reversion,0.05,6.0,0.9,0.8,20.0,2.0,-844.496754805248,6.169949228719386,-1.946147958876577,1019.2765094947815,1690.0,0.5475745464772976,3.4050584032014513,1.5565917724683083,15.874447070296977,1.7295464138537129,0.42144202173961476,0.0014399999999999999,2.8153627734767523
mean_reversion,0.05,6.0,0.9,0.8,35.0,2.0,-1590.4737526007202,10.446512593110333,-2.159632351691441,1917.7232974075346,1977.5,0.5560020735565574,3.3964682120181156,1.9723810319657138,25.83898683294522,2.1915344799619745,0.4411330629353631,0.0050590925952741315,3.2187651961363057
mean_reversion,0.05,6.0,0.9,0.8,50.0,2.0,-3012.8061107660124,14.737247442469414,-2.8705162609938517,3233.515305264216,2085.0,0.5588279734809792,3.4032960707284285,2.115353921483159,35.873159900011956,2.3503932460924792,0.4416424166145265,1.734723475976807e-18,3.3436028245262017
mean_reversion,0.05,6.0,1.3,0.4,20.0,2.0,565.0155187520902,6.816914521031081,1.1736122688847468,423.32686105625714,2219.0,0.6562041918477561,3.50302960278367,3.0265593906956436,15.165574012695647,2.328122608227483,0.5204121879391155,0.002253473022987686,4.740103159102336
mean_reversion,0.05,6.0,1.3,0.4,35.0,2.0,-745.1635410695939,12.051521170709913,-0.8651903064020555,1611.7372361268806,2426.5,0.6712006293728319,3.5276673907995484,3.5324927319990946,25.34308585883167,2.717302101537872,0.5512365873122924,0.0026658792972326295,5.183855340666341
