time,lambda_0,lambda_1
32.66983835,3.225672415,252.9795273
32.67059884,3.249472687,265.2362243
32.67173547,3.26912159,275.3869001
32.67309639,3.285995279,284.1264195
32.68021,3.244219905,263.1092256
32.68442457,3.234312332,258.2440042
32.68449677,3.264788357,273.8784972
32.68692793,3.270875659,277.1171925
32.68944347,3.275814504,279.7650783
32.68972222,3.304007401,294.2373894
32.69378352,3.290870447,287.6721241
32.69417455,3.317741439,301.4699603
32.69429125,3.347580071,316.7787076
32.69512255,3.368687312,327.6377579
32.69574348,3.392071155,339.6556778
32.69617829,3.417583959,352.7580008
32.69652653,3.444047024,366.3442195
32.69988325,3.429252325,358.8814871
32.7001269,3.457076661,373.1611739
32.700188,3.48739115,388.7114608
32.70027745,3.517243148,404.0255529
32.70330012,3.502594266,396.6173205
32.70545157,3.501492946,396.1234762
32.7067662,3.512817405,401.9736263
32.7098102,3.498116182,394.5263913
32.71649923,3.433849551,361.7498405
32.72048172,3.411598288,350.4364623
32.72216006,3.420484233,355.0334757
32.72645871,3.395270532,342.1968021
32.72875059,3.396917453,343.089036
32.73235511,3.38212655,335.5733782
32.73379191,3.39501205,342.2089761
32.74221908,3.323952287,305.9050403
32.74229117,3.354300244,321.4714138
32.74920305,3.305635659,296.6114948
32.75593406,3.265052719,275.8815845
32.75756055,3.279307067,283.2113764
32.75848779,3.300515217,294.099357
32.76119021,3.301996171,294.8883486
32.76343055,3.308379959,298.1857617
32.76695176,3.30063565,294.2482046
32.76715807,3.329505091,309.0570862
32.7676963,3.354343178,321.8014043
32.78795835,3.179433104,232.2461993
32.78929862,3.19889341,242.2354599
32.79187343,3.206842445,246.3276205
32.79207791,3.236115187,261.342579
32.79253411,3.262766112,275.0142492
32.80682052,3.162980426,223.9051979
32.80740307,3.189227034,237.3693666
32.81900206,3.126535438,205.2588015
32.82194352,3.135404448,209.8171795
32.82787835,3.121869327,202.8926999
32.83239209,3.11973492,201.810026
32.83466989,3.133830035,209.0449931
32.8353614,3.159557811,222.2422658
32.83609463,3.18458367,235.0796067
32.84312848,3.15687853,220.8853726
32.84453218,3.176415578,230.9086381
32.84706942,3.185807426,235.7306024
32.85053162,3.186893505,236.2940061
32.85312121,3.1953182,240.6194527
32.85547445,3.205385205,245.7866238
32.856767,3.224595707,255.6416094
32.86459058,3.18498456,235.3366697
32.86942649,3.174765777,230.101701
32.87134323,3.189450175,237.6355147
32.8750493,3.18823275,237.0152864
32.87727904,3.19969314,242.8956115
32.87889609,3.216124186,251.3246354
32.8799569,3.237235295,262.1534342
32.88564785,3.214480617,250.488016
32.8979514,3.141248763,212.9374906
32.89888289,3.164959806,225.0993558
32.90204413,3.16985856,227.6139599
32.90591884,3.16868357,227.0136773
32.91747449,3.110542872,197.1997606
32.9176107,3.140718736,212.6768169
32.92298382,3.130651946,207.5159934
32.92815055,3.123077917,203.6333709
32.92959686,3.143229919,213.9697301
32.94062332,3.093782573,188.6121387
32.94114621,3.121253294,202.7018347
32.95207764,3.076743487,179.8759059
32.95453667,3.091574357,187.4831156
32.95832503,3.096805974,190.1671849
32.98049457,2.99869122,139.8484824
32.98341949,3.014946253,148.1859517
32.99261786,2.999226264,140.1243226
32.99337211,3.026477009,154.1011198
33.02242177,2.92956108,104.3958528
33.03082886,2.930761049,105.0117503
33.0466799,17.54158396,77.86955032
33.04947321,31.40092312,73.9409837
33.05285547,29.5571888,85.43123492
33.06379992,24.31558112,85.61806976
33.07131711,21.33449169,90.36384437
33.07259612,35.52857228,88.23885197
33.11139091,32.49380162,43.34191098
33.12119695,27.22547543,52.5125688
33.12713094,24.51607888,63.19479608
33.13089251,37.60143777,59.00799469
33.17689606,31.29320672,26.54910811
33.24102671,10.68626348,26.97136053
34.23770829,2.76694466,20.99385224
34.37629211,2.76889614,21.99476115
34.39367472,2.790357813,33.00230563
34.40680095,2.808944548,42.5353144
34.41591469,2.827943632,52.27981384
34.42054847,2.850978866,64.09442729
34.47325078,2.807105035,41.59184107
34.48415596,2.824317751,50.42012463
34.5294479,2.802744298,39.35524899
34.53450995,2.82748915,52.04671346
34.54246503,2.845190558,61.12564407
34.54353437,17.50667939,59.96898776
34.54917082,15.96318762,70.10818676
34.55835587,28.4072241,59.21209189
34.57144987,37.15640743,46.75149068
34.58685791,28.05914662,51.6771997
34.61173116,32.79795698,33.41171307
34.63320043,36.96731373,23.52239798
34.68391698,15.18084924,27.71311301
34.80970006,3.772626253,22.82977788
34.83012006,3.456170165,32.8495791
34.86310325,3.139420431,35.39593157
34.87491385,17.71829794,29.03083418
34.87893212,16.59252621,43.17461605
34.88274818,15.60550632,56.36898124
34.88424734,29.88916332,54.88254547
34.89594538,24.25596175,60.47535576
34.91196909,18.38641633,61.26254276
34.9213483,15.74071092,67.63825453
34.92293572,15.36550478,81.68057202
34.94224736,11.35028173,73.11104601
34.96455264,8.281247168,64.5967362
34.97011902,7.728199673,74.31724956
34.98160916,6.734396359,76.08442949
35.00809331,5.121314569,62.85135055
35.03479843,4.165351752,54.90960591
35.06995864,3.474593165,45.701953
35.07889868,3.384819507,55.03686211
35.11093183,3.108967713,47.36363297
35.11677403,3.099006095,58.69120294
35.12686174,3.063833024,64.88042439
35.1380387,3.029307881,68.88410577
35.14383128,3.028390198,77.89492975
35.15940436,2.981267786,74.38477738
35.1602015,3.008580061,89.28721028
35.16270027,3.026475767,101.1780809
35.16431953,3.048406816,114.1129741
35.16461906,3.077734891,129.4611844
35.16956951,3.076692864,133.7281394
35.17850157,3.052111989,128.6679317
35.17943191,3.077475358,142.3879604
35.20641086,2.966168857,101.0937178
35.21469561,2.962180276,102.4196498
35.21906908,2.974411429,110.2598786
35.23484347,2.941032769,97.77832332
35.24476483,2.935281169,97.07886802
35.24596325,2.961751044,110.8979251
35.25239246,2.965677004,114.1194297
